implementation	distribution	array_size	bucket_count	time	analysis
serial	uniform	50000000	1	9.600245	0
serial	uniform	50000000	10	8.668569	0
serial	uniform	50000000	100	7.902372	0
serial	uniform	50000000	250	7.377044	0
serial	uniform	50000000	500	7.188324	0
serial	uniform	50000000	750	7.093539	0
serial	uniform	50000000	1000	7.066459	0
serial	uniform	50000000	1250	7.147401	0
serial	uniform	50000000	1500	7.222186	0
serial	uniform	50000000	1750	7.266027	0
serial	uniform	50000000	2000	7.302383	0
serial	normal	50000000	1	9.71585	0
serial	normal	50000000	10	9.07498	0
serial	normal	50000000	100	8.276152	0
serial	normal	50000000	250	8.386779	0
serial	normal	50000000	500	9.581572	0
serial	normal	50000000	750	12.34075	0
serial	normal	50000000	1000	16.052181	0
serial	normal	50000000	1250	23.877559	0
serial	normal	50000000	1500	32.468138	0
serial	normal	50000000	1750	38.198728	0
serial	normal	50000000	2000	47.351109	0
serial	exponential	50000000	1	9.713398	0
serial	exponential	50000000	10	9.456237	0
serial	exponential	50000000	100	8.648329	0
serial	exponential	50000000	250	10.281092	0
serial	exponential	50000000	500	11.838073	0
serial	exponential	50000000	750	14.764736	0
serial	exponential	50000000	1000	21.872663	0
serial	exponential	50000000	1250	34.239796	0
serial	exponential	50000000	1500	40.854547	0
serial	exponential	50000000	1750	60.381152	0
serial	exponential	50000000	2000	71.153576	0
parallel	uniform	50000000	1	9.677403	0
parallel	uniform	50000000	2	5.523683	0
parallel	uniform	50000000	4	2.992698	0
parallel	uniform	50000000	8	1.845218	0
parallel	uniform	50000000	16	2.499211	0
parallel	uniform	50000000	32	2.118971	0
parallel	uniform	50000000	64	1.972718	0
parallel	uniform	50000000	128	1.9233	0
parallel	uniform	50000000	256	1.8972	0
parallel	uniform	50000000	512	1.908167	0
parallel	uniform	50000000	1024	2.338415	0
parallel	normal	50000000	1	9.823444	0
parallel	normal	50000000	2	6.111999	0
parallel	normal	50000000	4	6.033883	0
parallel	normal	50000000	8	4.874997	0
parallel	normal	50000000	16	3.225116	0
parallel	normal	50000000	32	2.130897	0
parallel	normal	50000000	64	2.107567	0
parallel	normal	50000000	128	1.954172	0
parallel	normal	50000000	256	2.001227	0
parallel	normal	50000000	512	2.102158	0
parallel	normal	50000000	1024	2.07466	0
parallel	exponential	50000000	1	9.628754	0
parallel	exponential	50000000	2	9.906178	0
parallel	exponential	50000000	4	9.856976	0
parallel	exponential	50000000	8	9.256224	0
parallel	exponential	50000000	16	7.161684	0
parallel	exponential	50000000	32	4.667698	0
parallel	exponential	50000000	64	3.107184	0
parallel	exponential	50000000	128	2.403855	0
parallel	exponential	50000000	256	2.177576	0
parallel	exponential	50000000	512	2.092672	0
parallel	exponential	50000000	1024	2.198709	0
serial	uniform	10000	100	0.004022	0
serial	uniform	100000	100	0.015424	0
serial	uniform	1000000	100	0.130856	0
serial	uniform	10000000	100	1.38869	0
serial	uniform	20000000	100	2.906636	0
serial	uniform	30000000	100	4.477527	0
serial	uniform	40000000	100	6.117075	0
serial	normal	10000	100	0.047488	0
serial	normal	100000	100	0.058589	0
serial	normal	1000000	100	0.215234	0
serial	normal	10000000	100	1.524034	0
serial	normal	20000000	100	3.113898	0
serial	normal	30000000	100	5.145228	0
serial	normal	40000000	100	6.518446	0
serial	exponential	10000	100	0.054438	0
serial	exponential	100000	100	0.110086	0
serial	exponential	1000000	100	0.222101	0
serial	exponential	10000000	100	1.634674	0
serial	exponential	20000000	100	3.318749	0
serial	exponential	30000000	100	5.072073	0
serial	exponential	40000000	100	7.981487	0
parallel	uniform	10000	8	0.000952	2.2
parallel	uniform	100000	8	0.004808	2.2
parallel	uniform	1000000	8	0.030961	2.2
parallel	uniform	10000000	8	0.382835	2.2
parallel	uniform	20000000	8	0.748118	2.2
parallel	uniform	30000000	8	1.095386	2.2
parallel	uniform	40000000	8	1.48038	2.2
parallel	normal	10000	128	0.007774	2.2
parallel	normal	100000	128	0.012163	2.2
parallel	normal	1000000	128	0.046631	2.2
parallel	normal	10000000	128	0.398438	2.2
parallel	normal	20000000	128	0.783219	2.2
parallel	normal	30000000	128	1.23431	2.2
parallel	normal	40000000	128	1.624175	2.2
parallel	exponential	10000	512	0.035243	2.2
parallel	exponential	100000	512	0.04106	2.2
parallel	exponential	1000000	512	0.088797	2.2
parallel	exponential	10000000	512	0.444405	2.2
parallel	exponential	20000000	512	0.791068	2.2
parallel	exponential	30000000	512	1.235347	2.2
parallel	exponential	40000000	512	1.647151	2.2